"","Probe Set ID","Rank"
"200","SLA",8.67316766729453
"201","FCER1G",8.66849623693437
"202","UBASH3A",8.64121524053494
"203","CORO1A-AS1",8.64121524053494
"204","BATF",8.63362829881035
"205","EVI2B",8.62098011014851
"206","MFSD2A",8.62098011014851
"207","EVI2A",8.62098011014851
"208","CXCL10",8.61073747634665
"209","FCGR1A",8.59787803921608
"210","IL10RA",8.57728543840259
"211","PIK3R5",8.57728543840259
"212","CD7",8.57728543840259
"213","CARD16",8.57103506165558
"214","CLEC2B",8.56711340984332
"215","MATK",8.56711340984332
"216","FGD2",8.56711340984332
"217","MYO1F",8.53435467007878
"218","SLC24A4",8.52280671513099
"219","TYMP",8.51499599621491
"220","CLEC9A",8.5059024678421
"221","MILR1",8.5059024678421
"222","CD33",8.48269900576081
"223","PTPRC",8.46700799930556
"224","RASSF5",8.45566837152528
"225","PARP15",8.45355232640699
"226","DUSP5",8.44926611829217
"227","GGTA1",8.43696930342983
"228","LY9",8.41158401726366
"229","TYROBP",8.40466107507483
"230","ARHGAP30",8.38449911249582
"231","FAS",8.37819164365513
"232","CD300E",8.37759327760086
"233","C19orf38",8.37247239933696
"234","LOC112268267",8.35853687455001
"235","APOBEC3D",8.35053155078654
"236","P2RY13",8.34976680394077
"237","ZNF831",8.34976680394077
"238","ACTA1",8.33464069549795
"239","SELPLG",8.32901635309263
"240","TRPV2",8.32393625176803
"241","MPEG1",8.32291787078865
"242","SCML4",8.31224410902304
"243","LPAR5",8.30453887605585
"244","NCF2",8.28601820498834
"245","BIN2",8.27237443794625
"246","CFP",8.26656154132615
"247","SAMHD1",8.26478223700608
"248","TNFAIP3",8.26048700402931
"249","CYTH4",8.25164809215701
"250","HSPA6",8.24065546514745
"251","SPI1",8.22914186636236
"252","IL2RA",8.22802420388851
"253","FAM78A",8.22802420388851
"254","TNFSF8",8.21500987431857
"255","PRR7",8.21138937223225
"256","WAS",8.2099111615264
"257","MYD88",8.20744275511687
"258","CSTA",8.2055165942776
"259","MYBL1",8.19478798504685
"260","LILRA1",8.18797422792215
"261","CENPE",8.18797422792215
"262","ADA",8.18523856978926
"263","TRAT1",8.1828102299147
"264","CCR5",8.17722129938539
"265","ADAMTS4",8.16710924497152
"266","CD48",8.16219409827663
"267","LILRB3",8.15301930448386
"268","BATF3",8.13927923416202
"269","CD53",8.13927923416202
"270","HLA-DPB1",8.13035381948756
"271","APOL3",8.13035381948756
"272","OSCAR",8.12748738239459
"273","STAMBPL1",8.12748738239459
"274","CADM3",8.11850841692329
"275","CD1D",8.11704212543054
"276","HLA-DOA",8.1021646765376
"277","CD74",8.08556453283596
"278","PARVG",8.06234225597774
"279","CIITA",8.06234225597774
"280","SP140",8.04638375846329
"281","TRGC2",8.03668299639923
"282","PSMB8-AS1",8.0288257698526
"283","ZNF267",8.02222294661168
"284","APOBR",8.02222294661168
"285","CYBB",8.02222294661168
"286","HK3",8.00893009150031
"287","LILRB2",7.99880754559554
"288","EFHD2",7.99235312905816
"289","XCL2",7.98898437779296
"290","CSF3R",7.98821305424013
"291","JAK3",7.97754569649805
"292","SLAMF8",7.97679722037709
"293","GCNT1",7.97679722037709
"294","CD3D",7.95877626586563
"295","LPAR6",7.95877626586563
"296","LINC00861",7.95877626586563
"297","LOC107986649",7.95877626586563
"298","LOC107984200",7.95736857935425
"299","IKZF1",7.95390198019636
"300","TAP1",7.94145008465613
"301","LRRC25",7.94145008465613
"302","C3AR1",7.94145008465613
"303","DDIAS",7.93120864174369
"304","XCL1",7.9263094681623
"305","LAT2",7.92122594740142
"306","TLR10",7.9166684904646
"307","NLRC4",7.9166684904646
"308","RNASE6",7.90590472276493
"309","ITK",7.90573966892101
"310","LIPM",7.90000921641481
"311","FLJ32255",7.88412676319254
"312","NMI",7.88331064607029
"313","EBI3",7.86825693482459
"314","TMEM156",7.86604405633384
"315","SLC9A9",7.83868453459771
"316","IGHJ5",7.83425163357611
"317","GIMAP4",7.83425163357611
"318","SIGLEC10-AS1",7.79906907347727
"319","FOSL1",7.79906907347727
"320","P2RX5",7.79900803298491
"321","TLR6",7.79679519231387
"322","HLA-F",7.79167851982048
"323","CD72",7.78289040145141
"324","CYTIP",7.78015589101481
"325","PMAIP1",7.75808733078683
"326","IRF4",7.75764913200072
"327","TESPA1",7.75247102561529
"328","SQLE",7.74641577308081
"329","TRIM21",7.7444092736998
"330","ANXA1",7.74074195869792
"331","CX3CR1",7.73105625314203
"332","GZMB",7.72999276511653
"333","ADORA3",7.72966759908996
