"","logFC","logCPM","F","PValue","FDR","neglogFC","DE","top30"
"DOK2",-2.02985749497625,3.1771592349306,117.903129283229,1.1917959046635e-12,2.25224852869964e-10,2.02985749497625,"UP",NA
"TAGAP",-2.23725064852195,2.83150424454237,106.568519252377,1.22118111836091e-12,2.2842317429259e-10,2.23725064852195,"UP",NA
"GBP2",-1.83038404461444,5.36482166788567,120.823494666793,1.31303543314784e-12,2.43123762879122e-10,1.83038404461444,"UP",NA
"HCST",-1.89136596806929,2.87688860725417,112.672579757838,1.32746442904661e-12,2.43337504488535e-10,1.89136596806929,"UP",NA
"FCGR3A",-2.94208934012897,5.0509845576843,120.513194773039,1.56457384865737e-12,2.8228626578656e-10,2.94208934012897,"UP",NA
"LCP2",-2.0749729706303,4.20074548756144,120.780936567454,1.57073804540009e-12,2.8228626578656e-10,2.0749729706303,"UP",NA
"IL21R",-1.8123920327739,2.29014097033169,93.240150630719,1.75061755716905e-12,3.11558936315202e-10,1.8123920327739,"UP",NA
"PRDM1",-1.75413310611617,2.53396066116724,102.370420841649,1.89618608466586e-12,3.34221029980864e-10,1.75413310611617,"UP",NA
"LILRB4",-1.78003922135387,2.97722325627122,113.017248474192,1.92646699432736e-12,3.36324442600141e-10,1.78003922135387,"UP",NA
"RGS18",-2.09090744472166,2.26879977104971,87.27760519633,1.95923254192285e-12,3.38817846471583e-10,2.09090744472166,"UP",NA
"RHOH",-2.2913236197081,2.00047297245299,76.8098973408276,2.0514223529128e-12,3.48638194274384e-10,2.2913236197081,"UP",NA
"NCF1",-1.81938759976549,2.51714496417572,100.186838256208,2.05766651741264e-12,3.48638194274384e-10,1.81938759976549,"UP",NA
"RAP2B",-1.13726187151099,4.04314211529412,117.764734210453,2.0730763829528e-12,3.48638194274384e-10,1.13726187151099,"UP",NA
"GPR65",-1.95046020091142,2.82494805568651,106.478321359696,2.21522251136699e-12,3.69156762326075e-10,1.95046020091142,"UP",NA
"CD247",-2.52834180080653,2.80611147825913,96.0106519671187,2.32452373768978e-12,3.81181000930803e-10,2.52834180080653,"UP",NA
"MEFV",-2.20197045607698,1.56061590214079,79.5639204361225,2.3289658013338e-12,3.81181000930803e-10,2.20197045607698,"UP",NA
"ARL11",-1.57763626125523,1.51714786120523,72.0717741742173,2.64085681213918e-12,4.28403063923214e-10,1.57763626125523,"UP",NA
"GPR171",-2.16058450926253,1.78699795277229,73.4291066689456,2.74061072038076e-12,4.40685395748243e-10,2.16058450926253,"UP",NA
"NFAM1",-1.81184450622809,3.24867696310978,112.963124246275,2.88305090239113e-12,4.59558313841146e-10,1.81184450622809,"UP",NA
"TRG-AS1",-2.14941717339236,1.90797910625045,74.1659040670592,3.11767018399734e-12,4.92672518472889e-10,2.14941717339236,"UP",NA
